"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"jerusalem in my heart",,,,,7,630,2,1500,,
"jessica folcker",,,,,1,1982,,,,
"jessica genius",,,,,1,1982,,,,
"jessica simpson",,,,,1,1982,,,,
"jessica winter",,,,,6,685,3,1236,1,2066
"jfa",,,,,1,1982,,,,
"jim morrison, the doors",,,,,1,1982,,,,
"joan armatrading",,,,,1,1982,,,,
"joan as police woman",,,,,1,1982,1,2135,1,2066
"joan baez",,,,,19,312,,,,
"joe fox, nas",,,,,1,1982,,,,
"joe satriani, steve vai & yngwie malmsteen",,,,,1,1982,,,1,2066
"joe tex",,,,,1,1982,,,,
"johanna warren",,,,,3,1021,,,,
"john cale",,,,,1,1982,2,1500,1,2066
"john denver",,,,,2,1292,,,1,2066
"john foxx & the maths",,,,,3,1021,15,446,19,362
"john foxx and the maths",,,,,58,105,,,,
"john frusciante",,,,,1,1982,,,,
"john grant",,,,,9,560,36,211,1,2066
"john mills-cockell",,,,,2,1292,,,,
"johnny diamonds",,,,,2,1292,,,,
"johnny raincloud",,,,,2,1292,,,,
"johnny rivers",,,,,1,1982,,,,
"joji hirota taiko drummers",,,,,1,1982,,,,
"jon secada",,,,,2,1292,,,,
"jonah yano, badbadnotgood",,,,,1,1982,,,,
"jonathan richman",,,,,1,1982,2,1500,11,611
"jonathan something",,,,,3,1021,,,,
"jools",,,,,1,1982,,,,
"josef k",,,,,1,1982,29,252,3,1188
"josiah wolf",,,,,2,1292,,,,
"journers",,,,,2,1292,,,,
"journey",,,,,2,1292,2,1500,1,2066
"jovanotti",,,,,1,1982,7,821,,
"joywave, pvris",,,,,1,1982,,,,
"jozefvanwissem",,,,,66,86,7,821,8,750
"judy collins",,,,,5,761,,,,
"juice oh yeah",,,,,5,761,,,,
"julia holter",,,,,2,1292,,,1,2066
"julian cope",,,,,2,1292,91,68,3,1188
"juna",,,,,10,523,,,,
"jungle fire",,,,,1,1982,,,,
"junior parker",,,,,1,1982,,,,
"juniore",,,,,1,1982,3,1236,1,2066
"juss",,,,,1,1982,,,,
"kaba blon",,,,,1,1982,,,,
"kælan mikla",,,,,14,406,26,284,,
"kaleo, vinyl on hbo",,,,,1,1982,,,,
"kanga",,,,,1,1982,2,1500,,
"kasabian's serge & tom explain how oasis' influence stopped them from running a cafe together",,,,,1,1982,,,,
"kashmir",,,,,2,1292,,,,
"kaskade",,,,,1,1982,,,,
"kasta",,,,,1,1982,,,,
"kate bush",,,,,1,1982,,,1,2066
"kate davis",,,,,2,1292,1,2135,,
"kate nv",,,,,47,129,2,1500,2,1439
"kate tempest",,,,,1,1982,1,2135,,
"katie gately",,,,,1,1982,,,,
"katy j pearson",,,,,12,461,2,1500,2,1439
"kaunas",,,,,2,1292,,,,
"kavinsky",,,,,2,1292,,,,
"kay metov",,,,,1,1982,,,,
"kedr livanskiy",,,,,4,865,75,90,7,802
"kefaya",,,,,1,1982,,,,
"keith mansfield",,,,,1,1982,,,,
"kele",,,,,25,249,,,,
"kelly lee owens",,,,,1,1982,3,1236,4,1038
"kennyhoopla",,,,,4,865,,,,
"kennyhoopla, grandson",,,,,1,1982,,,,
"keta",,,,,2,1292,,,,
"kevin morby",,,,,1,1982,,,2,1439
"keygen church",,,,,1,1982,,,,
"khruangbin",,,,,3,1021,,,,
"kidbug",,,,,4,865,,,,
"killer mike",,,,,1,1982,,,,
"kim & buran",,,,,1,1982,,,,
"kim gordon",,,,,1,1982,1,2135,1,2066
"kim petras",,,,,2,1292,1,2135,2,1439
"king creosote",,,,,4,865,22,325,8,750
"king diamond",,,,,14,406,,,,
"king dude",,,,,1,1982,,,,
"king krule",,,,,69,81,13,511,15,450
"king no-one",,,,,1,1982,,,,
"king princess",,,,,2,1292,1,2135,,
"king selewa calypsonians",,,,,1,1982,,,,
"king tuff",,,,,1,1982,1,2135,2,1439
"kingmaker",,,,,13,426,1,2135,,
"kino",,,,,15,390,,,,
"kino, viktor tsoi",,,,,2,1292,,,,
"kip macklejar",,,,,1,1982,,,,
"kira lao",,,,,1,1982,,,,
"kit sebastian",,,,,1,1982,,,17,401
"kite base",,,,,7,630,,,,
"kiwi jr.",,,,,2,1292,2,1500,,
"klangstof",,,,,1,1982,,,,
"klashnekoff",,,,,1,1982,,,,
"klaus johann grobe",,,,,1,1982,2,1500,10,666
"klaus weiss",,,,,1,1982,,,,
"klezmer juice",,,,,1,1982,,,1,2066
"klô pelgag",,,,,48,125,1,2135,,
"kmru",,,,,1,1982,,,,
"knigi",,,,,2,1292,,,,
"kolars",,,,,3,1021,2,1500,,
"kombinaciya",,,,,1,1982,2,1500,,
"komplimenter",,,,,1,1982,,,1,2066
"kompromat",,,,,1,1982,,,,
"komsomolsk",,,,,5,761,11,598,,
"korinya",,,,,56,107,1,2135,,
"korol i shut",,,,,7,630,,,,
"kosmetika",,,,,5,761,,,,
"krasnaya plesen",,,,,1,1982,1,2135,,
"krematorij",,,,,1,1982,,,,
"kristina orbakaitė",,,,,4,865,,,,
"kroyclub",,,,,2,1292,1,2135,1,2066
"kruder & dorfmeister",,,,,1,1982,,,,
"kurt vile, john prine",,,,,1,1982,,,,
"kutiman",,,,,1,1982,,,,
"l.a. witch",,,,,2,1292,1,2135,1,2066
"l.m. queen",,,,,7,630,,,,
"l'eclair",,,,,1,1982,6,887,,
"l'epee",,,,,1,1982,3,1236,10,666
"la fame di camilla",,,,,2,1292,,,,
"la femme",,,,,40,161,114,50,41,157
"la luz",,,,,2,1292,3,1236,28,250
"la priest",,,,,84,66,51,146,34,208
"la roux",,,,,5,761,4,1081,14,485
"la vida bohème",,,,,1,1982,1,2135,,
"lacuna common",,,,,1,1982,,,,
"lady leshurr",,,,,1,1982,,,,
"ladytron",,,,,1,1982,2,1500,24,290
"lamee",,,,,1,1982,,,,
"landline",,,,,1,1982,,,,
"landowner",,,,,1,1982,,,,
"landshapes",,,,,1,1982,,,22,315
"lany",,,,,2,1292,,,,
"lapti",,,,,2,1292,,,,
"larry pink the human",,,,,1,1982,1,2135,,
"larry pink the human, idles",,,,,1,1982,,,,
"las robertas",,,,,1,1982,,,,
"lasha chapel",,,,,1,1982,,,,
"laudan",,,,,5,761,,,,
"laulia",,,,,1,1982,,,,
"launder",,,,,1,1982,,,,
"laura marling",,,,,2,1292,,,,
"laurie johnson: london studio symphony orchestra",,,,,1,1982,,,,
"lava lite",,,,,2,1292,,,,
"law holt",,,,,1,1982,,,,
"lazarus kane",,,,,11,496,9,707,9,716
"lazy ghost",,,,,1,1982,,,,
"lcsm (likwid continual space motion)",,,,,5,761,,,,
"lcsm (likwid continual space motion), demelza toy toy",,,,,1,1982,,,,
"lcsm (likwid continual space motion), ghettolette string ensemble",,,,,1,1982,,,,
"le shiv",,,,,1,1982,,,,
"le villejuif underground",,,,,1,1982,,,22,315
"le volume courbe",,,,,1,1982,2,1500,1,2066
"le1f",,,,,1,1982,,,,
"leathers",,,,,1,1982,2,1500,1,2066
"lee fields & the expressions",,,,,1,1982,,,,
"lee hazlewood",,,,,1,1982,,,,
"lee paradise",,,,,1,1982,,,,
"lee scott",,,,,2,1292,,,,
"legend",,,,,1,1982,,,,
"legss",,,,,1,1982,3,1236,,
"lene lovich",,,,,22,280,11,598,1,2066
"lene marlin",,,,,1,1982,,,,
"lenin was a zombie",,,,,32,204,,,,
"leningrad",,,,,1,1982,,,,
"lenny kravitz",,,,,3,1021,,,,
"leo svirsky",,,,,5,761,,,,
"leonid agutin",,,,,11,496,2,1500,,
"leonid agutin, anzhelika varum",,,,,1,1982,,,,
"les big byrd",,,,,10,523,1,2135,,
"les breastfeeders",,,,,7,630,,,,
"les robots",,,,,4,865,,,,
"les savy fav",,,,,1,1982,1,2135,5,948
"lesley gore",,,,,1,1982,,,,
"let me out",,,,,1,1982,,,,
"let's wrestle",,,,,2,1292,,,,
"letting up despite great faults",,,,,1,1982,,,,
"lettuce,indrajit banerjee",,,,,2,1292,,,,
"levante",,,,,8,595,1,2135,,
"lewis capaldi red carpet interview",,,,,1,1982,,,,
"lewsberg",,,,,2,1292,2,1500,4,1038
"lié",,,,,8,595,,,,
"liela moss",,,,,5,761,,,1,2066
"life without buildings",,,,,1,1982,3,1236,1,2066
"lift to experience",,,,,1,1982,,,1,2066
"ligabue",,,,,2,1292,1,2135,,
"lighthouse family",,,,,2,1292,,,,
"lightspeed champion",,,,,3,1021,,,,
"lika star",,,,,1,1982,,,,
"lil uzi vert",,,,,1,1982,,,,
"lime",,,,,1,1982,,,,
"lin pesto",,,,,1,1982,,,,
"lin pesto, mei wu",,,,,1,1982,,,,
"linda",,,,,1,1982,1,2135,,
"lindstrøm, prins thomas",,,,,1,1982,,,,
"liquido",,,,,1,1982,,,,
"lisa bregneager",,,,,2,1292,,,,
"lisa mitchell",,,,,2,1292,,,,
"lissie",,,,,2,1292,,,,
"litfiba",,,,,2,1292,6,887,,
"lithics",,,,,1,1982,,,4,1038
"little barrie, malcolm catto",,,,,1,1982,1,2135,,
"little man tate",,,,,1,1982,,,,
"little mix, jason derulo",,,,,1,1982,,,,
"little mix, machine gun kelly",,,,,1,1982,,,,
"little mix, nicki minaj",,,,,1,1982,,,,
"little mix, sharaya j",,,,,1,1982,,,,
"little mix, ty dolla $ign",,,,,1,1982,,,,
"little richard",,,,,1,1982,,,,
"little simz",,,,,7,630,50,151,34,208
"little simz, chronixx",,,,,1,1982,,,,
"little simz, cleo sol",,,,,1,1982,2,1500,,
"little simz, little dragon",,,,,1,1982,,,,
"little simz, michael kiwanuka",,,,,1,1982,,,,
"liz lawrence",,,,,1,1982,47,163,44,149
"lizzo",,,,,10,523,,,2,1439
"lizzo, gucci mane",,,,,1,1982,,,,
"lizzo, missy elliott",,,,,1,1982,,,,
"lo stato sociale",,,,,7,630,2,1500,,
"locksley",,,,,2,1292,1,2135,,
"lokoy",,,,,1,1982,,,,
"loma",,,,,2,1292,1,2135,1,2066
"lone justice",,,,,1,1982,1,2135,1,2066
"lonelady",,,,,2,1292,2,1500,3,1188
"loose meat, cibelle",,,,,10,523,1,2135,,
"loose meat, viva",,,,,1,1982,,,,
"loretta lynn",,,,,1,1982,,,,
"los bitchos",,,,,3,1021,3,1236,27,259
"los cogelones",,,,,1,1982,,,,
"los niños telepaticos",,,,,3,1021,,,,
"los umbrellos",,,,,2,1292,,,,
"los yoryis",,,,,1,1982,,,,
"lost horizons, john grant",,,,,1,1982,,,,
"lost horizons, porridge radio",,,,,1,1982,,,,
"louna",,,,,2,1292,,,,
"love",,,,,63,92,10,658,1,2066
"love and rockets",,,,,4,865,18,381,2,1439
"lovvlovver, noteless, kito jempere",,,,,1,1982,,,,
"low cut connie",,,,,1,1982,,,,
"low island",,,,,2,1292,4,1081,,
"lowlife, rat boy, mila",,,,,1,1982,1,2135,,
"lsp",,,,,1,1982,,,,
"lucia & the best boys",,,,,7,630,,,,
"lucia & the best boys, jessica winter",,,,,1,1982,1,2135,,
"lucio battisti",,,,,16,368,,,,
"luge",,,,,1,1982,,,,
"luke lalonde",,,,,2,1292,,,,
"lumineers",,,,,1,1982,,,,
"luna",,,,,1,1982,1,2135,,
"luna aura",,,,,1,1982,,,,
"lunch money life",,,,,9,560,2,1500,1,2066
"luscious jackson",,,,,1,1982,,,,
"lustra",,,,,2,1292,,,1,2066
"lux lyall",,,,,1,1982,,,,
"lxruda, calboy, the internet",,,,,1,1982,,,,
"lyapis trubetskoy",,,,,3,1021,4,1081,,
"lynks",,,,,20,302,16,425,2,1439
"lyres",,,,,1,1982,1,2135,2,1439
"ʟᴜᴄᴀ ʟᴜsʜ",,,,,1,1982,,,,
"m!r!m",,,,,1,1982,,,,
"m.a.k.u soundsystem",,,,,1,1982,,,,
"m.i.a",,,,,19,312,,,,
"maarja nuut & ruum",,,,,1,1982,,,,
"macy gray",,,,,2,1292,,,,
"mad wave",,,,,1,1982,,,,
"madonnatron",,,,,123,30,50,151,63,98
"magic kids",,,,,3,1021,,,,
"magnetic poetry",,,,,1,1982,,,,
"magnetone studios",,,,,1,1982,,,,
"mahala rai banda",,,,,1,1982,,,1,2066
"maia hirasawa",,,,,2,1292,,,,
"major force productions",,,,,1,1982,,,,
"makeness",,,,,1,1982,,,,
"maksim svoboda",,,,,2,1292,,,,
"malajube",,,,,1,1982,,,,
"malian musicians, damon albarn",,,,,1,1982,,,,
"mameen 3",,,,,4,865,8,761,,
"man & the echo",,,,,3,1021,5,979,2,1439
"man man",,,,,3,1021,1,2135,57,110
"man of moon",,,,,1,1982,,,,
"mandry",,,,,1,1982,,,,
"mandy moore",,,,,1,1982,,,,
"manizha",,,,,6,685,20,346,4,1038
"mankind",,,,,1,1982,,,,
"manu chao, calypso rose",,,,,1,1982,,,,
"manuel dolp",,,,,1,1982,,,,
"maraudeur",,,,,1,1982,,,,
"marc anthony",,,,,2,1292,,,,
"marching church",,,,,1,1982,,,,
"margaret glaspy",,,,,1,1982,,,,
"maria kalaniemi",,,,,1,1982,,,,
"marie davidson, l’œil nu",,,,,1,1982,11,598,,
"marie davidson, soulwax",,,,,1,1982,,,,
"marie frank",,,,,1,1982,,,,
"marika hackman",,,,,2,1292,1,2135,,
"marina rei",,,,,2,1292,,,,
"marissa nadler",,,,,2,1292,,,2,1439
"mart avi",,,,,5,761,1,2135,,
"martha & the muffins",,,,,1,1982,,,,
"martha schlamme",,,,,1,1982,,,,
"martin dupont",,,,,1,1982,2,1500,1,2066
"martina topley-bird",,,,,1,1982,1,2135,1,2066
"marty friedman",,,,,2,1292,,,1,2066
"maruja",,,,,1,1982,1,2135,2,1439
"mary lattimore",,,,,3,1021,,,,
"mary mary",,,,,2,1292,,,,
"mary ocher",,,,,1,1982,,,,
"mashina vremeni",,,,,17,346,,,,
"massive attack, tracey thorn",,,,,1,1982,1,2135,1,2066
"massive attack, young fathers",,,,,1,1982,,,,
"master peace",,,,,2,1292,,,,
"math the band",,,,,1,1982,,,,
"matia bazar",,,,,2,1292,20,346,,
"matthew caws",,,,,1,1982,,,,
"mattiel",,,,,2,1292,2,1500,18,381
"mau maus",,,,,2,1292,,,,
"max gazzé",,,,,1,1982,66,104,,
"max gazzè",,,,,9,560,27,274,1,2066
"max gazzè & niccolò fabi",,,,,1,1982,,,,
"maximum joy",,,,,1,1982,,,2,1439
"mc senechka",,,,,2,1292,,,,
"mdou moctar",,,,,11,496,53,141,20,345
"meatraffle",,,,,91,58,21,334,48,135
"meatraffle, andrew weatherall",,,,,1,1982,,,,
"meatraffle, madonnatron",,,,,1,1982,1,2135,,
"medicine 8",,,,,3,1021,,,,
"medium medium",,,,,1,1982,1,2135,2,1439
"mees dierdorp",,,,,8,595,,,1,2066
"mega bog",,,,,1,1982,1,2135,1,2066
"meija",,,,,4,865,1,2135,,
"mein glas fabrik",,,,,1,1982,,,,
"mekong delta",,,,,3,1021,1,2135,33,217
"melt yourself down",,,,,88,64,50,151,134,32
"melt yourself down, idles",,,,,1,1982,,,,
"melt yourself down, shabaka hutchings",,,,,2,1292,,,,
"meltheads",,,,,1,1982,,,,
"memory is software",,,,,1,1982,,,,
"memory tapes",,,,,2,1292,,,,
"meri wilson",,,,,1,1982,1,2135,,
"meridian brothers",,,,,13,426,1,2135,25,279
"metronomy, manfredas",,,,,1,1982,,,,
"metz",,,,,1,1982,1,2135,5,948
"mhysa",,,,,1,1982,,,,
"miami horror, poolside",,,,,1,1982,,,,
"micachu and the shapes",,,,,2,1292,1,2135,,
"michel cloup duo, pascal bouaziz",,,,,1,1982,,,,
"michelle gurevich",,,,,1,1982,,,,
"mick jagger, kevin parker",,,,,1,1982,1,2135,1,2066
"microfunk crew",,,,,1,1982,,,,
"midi matilda",,,,,1,1982,,,,
"midlake",,,,,2,1292,,,,
"mien",,,,,52,118,16,425,5,948
"mietta",,,,,2,1292,,,,
"mika, michele bravi",,,,,1,1982,,,,
"mika, soprano",,,,,1,1982,,,,
"mike perry",,,,,2,1292,,,,
"mike simonetti",,,,,1,1982,,,,
"mikhail krug",,,,,1,1982,,,,
"mikhail shufutinsky",,,,,1,1982,,,,
"mikhey and jumanji",,,,,1,1982,,,,
"miles kurosky",,,,,2,1292,,,,
"miley cyrus",,,,,11,496,2,1500,,
"miley cyrus, billy idol",,,,,1,1982,,,,
"miley cyrus, dua lipa",,,,,2,1292,,,,
"miley cyrus, joan jett & the blackhearts",,,,,1,1982,,,,
"miley cyrus, stevie nicks",,,,,1,1982,,,,
"military genius",,,,,1,1982,10,658,1,2066
"milky toad vs eu",,,,,2,1292,,,,
"mink deville",,,,,1,1982,,,,
"minor threat",,,,,1,1982,,,3,1188
"minutemen",,,,,1,1982,8,761,3,1188
"miranda",,,,,2,1292,,,1,2066
"miranda and the beat",,,,,1,1982,,,,
"mirèle",,,,,2,1292,1,2135,,
"misfits, glenn danzig",,,,,1,1982,1,2135,5,948
"mission of burma",,,,,1,1982,19,361,67,90
"model/actriz",,,,,1,1982,,,11,611
"modern nature",,,,,2,1292,,,1,2066
"modeselektor",,,,,5,761,,,,
"mogwai",,,,,2,1292,1,2135,2,1439
"molchat doma",,,,,72,77,4,1081,24,290
"molly nilsson",,,,,1,1982,,,2,1439
"molodoy",,,,,2,1292,,,,
"molto morbidi",,,,,1,1982,,,,
"monako",,,,,1,1982,,,,
"monatik, lida lee, nino",,,,,1,1982,,,,
"monatik, лайма вайкуле",,,,,1,1982,,,,
"monetochka",,,,,95,53,,,,
"monetochka, noize mc",,,,,1,1982,,,,
"monetochka, бцх",,,,,1,1982,1,2135,,
"monophonics",,,,,1,1982,,,,
"moon rituals",,,,,1,1982,,,,
"moonchild, wire",,,,,1,1982,,,,
"mope grooves",,,,,1,1982,,,,
"morgainelefair",,,,,1,1982,,,,
"mort garson",,,,,12,461,47,163,10,666
"moses boyd",,,,,1,1982,,,,
"moses sumney",,,,,1,1982,,,,
"mother's milk",,,,,1,1982,,,,
"motorama",,,,,4,865,7,821,,
"mr ben & the bens",,,,,11,496,,,2,1439
"mr big",,,,,1,1982,,,,
"mr morality",,,,,1,1982,,,,
"mr. fingers",,,,,1,1982,,,,
"mr. lif & brass menažeri",,,,,5,761,,,,
"mr. oizo",,,,,2,1292,5,979,4,1038
"mugl x blood wolf",,,,,1,1982,,,,
"mujuice",,,,,7,630,42,187,56,113
"mujuice, zemfira",,,,,1,1982,3,1236,,
"mumiy troll",,,,,20,302,,,,
"mumiy troll, dza",,,,,1,1982,,,,
"mumiy troll, scriptonite",,,,,2,1292,,,,
"mumiy troll, t-fest",,,,,1,1982,,,,
"mura masa, ellie rowsell, wolf alice",,,,,1,1982,,,,
"mura masa, slowthai",,,,,1,1982,,,,
"murat beyaz, emilia, marina",,,,,1,1982,,,,
"murat nasyrov",,,,,2,1292,,,,
"mush",,,,,4,865,3,1236,,
"musia totibadze",,,,,1,1982,1,2135,,
"music pop",,,,,1,1982,,,,
"mustelide",,,,,4,865,,,,
"mustelide feat. luss",,,,,1,1982,,,,
"muzz",,,,,1,1982,1,2135,,
"my french roommate",,,,,16,368,,,,
"my little pony",,,,,2,1292,,,,
"my solar system",,,,,1,1982,,,,
"my ugly clementine",,,,,2,1292,,,,
"mystery jets",,,,,2,1292,1,2135,,
"mystic peach",,,,,1,1982,,,,
"n.y.n.",,,,,1,1982,,,,
"n0v3l",,,,,41,152,41,190,7,802
"naadia",,,,,1,1982,1,2135,,
"nada surf",,,,,1,1982,,,,
"nadine shah",,,,,25,249,5,979,1,2066
"naked giants",,,,,1,1982,3,1236,1,2066
"nancy sinatra, lee hazlewood",,,,,2,1292,,,,
"nancy, the mysterious visions",,,,,5,761,4,1081,,
"nap eyes",,,,,6,685,5,979,,
"nap eyes, nnamdï",,,,,1,1982,,,,
"natasha korolyova",,,,,1,1982,,,,
"nathan dawe, little mix",,,,,1,1982,,,,
"nathaniel rateliff",,,,,1,1982,,,,
"nation of language",,,,,6,685,31,238,5,948
"native sun",,,,,1,1982,,,,
"natural man band",,,,,1,1982,,,,
"nautilus pompilius",,,,,4,865,,,,
"navy blue",,,,,1,1982,,,,
"nazar",,,,,1,1982,,,,
"negatives",,,,,2,1292,,,,
"negrita",,,,,1,1982,7,821,,
"neil cicierega",,,,,1,1982,,,,
"neil diamond",,,,,2,1292,,,1,2066
"neil young, stray gators",,,,,1,1982,,,,
"nelly feat. city spud",,,,,1,1982,1,2135,,
"neon trees, dvrko",,,,,1,1982,,,,
"neon waltz",,,,,1,1982,,,,
"nerio's dubwork meets darryl pandy",,,,,2,1292,,,,
"neşe karaböcek",,,,,1,1982,,,,
"neu!",,,,,2,1292,3,1236,1,2066
"neuromonakh feofan",,,,,5,761,9,707,,
"new fast automatic daffodils",,,,,1,1982,1,2135,1,2066
"new model soldier",,,,,2,1292,,,,
"new radicals",,,,,1,1982,,,,
"new young pony club",,,,,1,1982,,,1,2066
"newdad",,,,,1,1982,5,979,2,1439
"newlux",,,,,1,1982,,,,
"next of kin",,,,,1,1982,,,,
"nice biscuit",,,,,1,1982,,,1,2066
"nicolas godin",,,,,1,1982,,,,
"nicolò carnesi",,,,,1,1982,,,,
"nídia",,,,,9,560,,,,
"nídia, gamboa",,,,,1,1982,,,,
"night beats",,,,,10,523,4,1081,6,854
"nike borzov",,,,,1,1982,9,707,,
"nikki's wives",,,,,6,685,,,,
"nina hagen",,,,,1,1982,1,2135,1,2066
"nina karlsson",,,,,3,1021,,,,
"nina simone",,,,,1,1982,,,,
"ninety one",,,,,1,1982,,,,
"nino rota",,,,,2,1292,,,1,2066
"nnhmn",,,,,9,560,,,,
"no age",,,,,15,390,1,2135,66,92
"no buses",,,,,1,1982,,,1,2066
"no kids",,,,,2,1292,,,,
"no trend",,,,,2,1292,,,1,2066
"no zu",,,,,1,1982,,,,
"noah and the whale",,,,,3,1021,,,,
"noble oak, kongos",,,,,1,1982,,,,
"nobro",,,,,1,1982,,,1,2066
"noel gallagher's high flying birds, dense & pika",,,,,1,1982,,,,
"noel gallagher's high flying birds, the reflex",,,,,2,1292,,,,
"noel harrison",,,,,1,1982,,,,
"noel mcloughlin",,,,,1,1982,,,,
"nogu svelo!",,,,,5,761,,,,
"noisia",,,,,3,1021,,,,
"noisy",,,,,1,1982,,,,
"noize mc",,,,,4,865,1,2135,39,173
"noize mc feat. монеточка",,,,,1,1982,,,,
"noize mc, monetochka",,,,,2,1292,,,,
"nol",,,,,12,461,,,,
"north downs",,,,,1,1982,,,,
"nothing but thieves, wuh oh",,,,,1,1982,,,,
"nour eddine",,,,,1,1982,,,,
"nova norda",,,,,1,1982,1,2135,,
"nova twins",,,,,4,865,,,,
"now, now",,,,,1,1982,,,,
"nü cros",,,,,1,1982,,,,
"nubiyan twist, cherise",,,,,1,1982,,,,
"nzca lines",,,,,1,1982,1,2135,,
"oat oaks",,,,,1,1982,,,,
"oberhofer",,,,,1,1982,,,,
"obscura hail",,,,,2,1292,1,2135,,
"ocs",,,,,1,1982,,,,
"odd morris",,,,,1,1982,,,,
"ogni st. elma",,,,,1,1982,,,,
"oh!no-ok.",,,,,2,1292,,,,
"ohmelectronic",,,,,2,1292,,,,
"oko ebombo",,,,,6,685,,,,
"old crow medicine show",,,,,2,1292,,,1,2066
"oleg gazmanov",,,,,1,1982,,,,
"oligarkh",,,,,202,9,167,22,21,330
"oligarkh, mstr.frei, юра музыченко",,,,,1,1982,1,2135,,
"oligarkh, pixelord",,,,,1,1982,1,2135,,
"oliver tree, dillon francis, grandson",,,,,1,1982,,,,
"omfo",,,,,33,191,3,1236,2,1439
"omni",,,,,1,1982,,,,
"onuka",,,,,1,1982,26,284,88,59
"ooioo",,,,,2,1292,1,2135,1,2066
"open mike eagle",,,,,1,1982,,,,
"opus orange",,,,,3,1021,,,,
"oqjav",,,,,13,426,7,821,2,1439
"oqjav, nina karlsson",,,,,1,1982,1,2135,,
"orange juice",,,,,1,1982,15,446,7,802
"orkestar kriminal",,,,,4,865,,,,
"orville peck",,,,,2,1292,,,,
"oscar mic",,,,,3,1021,,,,
"osees, thee oh sees",,,,,12,461,5,979,29,241
"otherkin",,,,,5,761,,,2,1439
"otoboke beaver",,,,,2,1292,,,2,1439
"ötzi",,,,,3,1021,2,1500,,
"ought",,,,,2,1292,,,2,1439
"outsider",,,,,1,1982,,,,
"owen pallett",,,,,5,761,1,2135,,
"owl city",,,,,2,1292,,,,
"oxxxymiron",,,,,3,1021,22,325,,
"özdemir erdoğan",,,,,1,1982,,,,
"ozzy osbourne, elton john",,,,,1,1982,,,,
"pa salieu",,,,,1,1982,,,,
"padla bear outfit",,,,,7,630,,,,
"pagan bo",,,,,2,1292,,,,
"palberta",,,,,1,1982,,,,
"pale honey",,,,,6,685,,,,
"pale sunday",,,,,2,1292,,,,
"palm ghosts",,,,,2,1292,,,,
"palmiyeler",,,,,3,1021,2,1500,,
"pan amsterdam, jason williamson, coup diablo",,,,,1,1982,,,,
"panic priest",,,,,1,1982,1,2135,,
"panic shack",,,,,1,1982,4,1081,74,80
"panoramics",,,,,1,1982,,,,
"paola turci",,,,,1,1982,1,2135,,
"paramore",,,,,1,1982,,,1,2066
"parliamo",,,,,1,1982,,,,
"parquet courts",,,,,15,390,99,62,19,362
"parsnip",,,,,2,1292,,,,
"pasosh",,,,,2,1292,,,,
"pasosh, увула",,,,,1,1982,1,2135,,
"patriarch&bakunin",,,,,1,1982,,,,
"patrick pulsinger",,,,,1,1982,,,,
"patti smith",,,,,2,1292,2,1500,10,666
"patty pravo",,,,,1,1982,,,,
"paul anka & odia coates",,,,,1,1982,1,2135,,
"paul epworth, vince staples, ishmael, elle yaya",,,,,1,1982,,,,
"paul esswood",,,,,1,1982,,,,
"paul molloy",,,,,1,1982,,,,
"paul robeson",,,,,1,1982,,,,
"paul simon",,,,,1,1982,,,1,2066
"pavlove",,,,,1,1982,,,,
"pawspaws",,,,,1,1982,,,,
"peace",,,,,4,865,1,2135,1,2066
"peach club",,,,,1,1982,,,,
"peach pit",,,,,5,761,1,2135,1,2066
"peaer",,,,,3,1021,,,,
"pearl jam",,,,,2,1292,,,,
"peel dream magazine",,,,,1,1982,1,2135,,
"peggy sue",,,,,1,1982,3,1236,1,2066
"peking duk, the wombats",,,,,1,1982,,,,
"pennywise",,,,,3,1021,,,,
"pere ubu",,,,,1,1982,3,1236,2,1439
"perforated cerebral party ft. alice virt",,,,,1,1982,,,,
"personal trainer",,,,,1,1982,,,2,1439
"pet grotesque",,,,,1,1982,,,,
"pet shimmers",,,,,1,1982,1,2135,1,2066
"pete and the pirates",,,,,16,368,14,479,,
"pete shelley",,,,,1,1982,14,479,1,2066
"peter hammill",,,,,1,1982,,,,
"peter sarstedt",,,,,1,1982,,,,
"petey",,,,,2,1292,,,1,2066
"petlya pristrastiya",,,,,3,1021,,,,
"petru guelfucci",,,,,1,1982,,,,
"pharmakon",,,,,2,1292,,,,
"phèdre",,,,,1,1982,,,,
"phil lesh & friends",,,,,1,1982,,,,
"philip sayce",,,,,1,1982,,,,
"philipp kirkorov",,,,,4,865,,,,
"phobophobes",,,,,1,1982,40,191,,
"pianoboy",,,,,4,865,,,,
"pictish trail",,,,,11,496,2,1500,1,2066
"piero pelù",,,,,1,1982,,,,
"pierre cavalli",,,,,1,1982,,,,
"pigs pigs pigs pigs pigs pigs pigs",,,,,30,214,40,191,36,193
"piknik",,,,,5,761,,,,
"pillow queens",,,,,22,280,1,2135,3,1188
"pills",,,,,1,1982,,,,
"pinch points",,,,,1,1982,,,,
"pinchas steinberg",,,,,1,1982,,,,
"pinkshinyultrablast",,,,,1,1982,,,,
"pit ponies",,,,,4,865,,,,
"pixelord, hvzy",,,,,1,1982,,,,
"pixelord, i61",,,,,1,1982,,,,
"pixelord, pasha technique",,,,,1,1982,,,,
"pixx",,,,,2,1292,4,1081,,
