"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"billy idol",53,118,8,428,60,99,13,511,40,166
"billy j. kramer with the dakotas",3,679,1,1301,2,1292,1,2135,,
"billy stewart",1,1260,,,,,1,2135,,
"bitmap",2,840,,,,,,,,
"bitter:sweet",16,273,,,,,,,5,948
"black box recorder",4,583,1,1301,1,1982,1,2135,1,2066
"black futures",20,234,7,458,3,1021,,,,
"black grape",13,316,7,458,2,1292,9,707,3,1188
"black light burns",10,362,8,428,4,865,1,2135,4,1038
"black math",4,583,,,,,,,,
"black rebel motorcycle club",31,168,42,139,5,761,8,761,16,422
"black sabbath",6,463,1,1301,1,1982,1,2135,8,750
"blackwood sue",2,840,1,1301,1,1982,1,2135,,
"blind melon",3,679,1,1301,1,1982,,,1,2066
"blink 182",1,1260,,,,,,,,
"blink-182",8,408,5,534,7,630,5,979,8,750
"bloc party",71,89,73,84,23,271,34,222,32,224
"blondie",39,145,25,214,21,287,27,274,26,266
"bloodboy",1,1260,,,,,,,,
"bloodhound gang",1,1260,,,2,1292,,,1,2066
"blue cheer",1,1260,,,,,,,,
"blue oyster cult",1,1260,,,1,1982,,,,
"blues traveler",2,840,,,,,,,,
"blur",1235,1,638,1,452,1,271,5,445,2
"bob dylan",3,679,,,2,1292,3,1236,,
"bobby hebb",1,1260,1,1301,,,1,2135,,
"bobby sheen",1,1260,1,1301,,,1,2135,,
"bobby taylor",1,1260,,,,,,,,
"bodega",3,679,3,685,39,166,23,318,87,61
"bombay bicycle club",1,1260,2,855,23,271,8,761,2,1439
"bon jovi",2,840,,,,,,,,
"bonobo",2,840,,,3,1021,,,6,854
"bonus",1,1260,,,,,,,,
"bonzo dog doo-dah band",4,583,,,1,1982,,,,
"boogarins",1,1260,,,,,,,,
"boom crash opera",2,840,,,,,,,,
"boomtown rats",4,583,,,2,1292,3,1236,1,2066
"boon",1,1260,,,,,,,,
"born ruffians",1,1260,4,599,6,685,7,821,2,1439
"borneo",11,348,4,599,3,1021,,,,
"boston bun",1,1260,,,,,1,2135,,
