"artist_name","artist_uri","album_uri","album_name","album_img","album_type","is_collaboration","album_release_date","album_release_year","album_popularity","track_name","track_uri","track_number","disc_number","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","track_preview_url","track_open_spotify_url","artist"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"The Djembe","68YutBG5OdYSkrc6L5nVrA",6,1,0.721,0.316,"B",-14.412,"minor",0.0418,0.518,0.0931,0.123,0.607,56.964,274840,4,"B minor",23,"https://p.scdn.co/mp3-preview/c525e3bcafd3ff57e703b0ba808e76346b9178ec?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/68YutBG5OdYSkrc6L5nVrA","Damon Albarn"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"Makelekele","4B0BPnMKrSXaqIIXlR5nHn",5,1,0.639,0.546,"E",-7.702,"major",0.0623,0.0707,0.00453,0.143,0.204,130.889,264333,4,"E major",20,"https://p.scdn.co/mp3-preview/a58af5c2631108e596d507c5feff9af5a2d4dda8?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/4B0BPnMKrSXaqIIXlR5nHn","Damon Albarn"
"Gorillaz","3AA28KZvwAUcZuOKwyblJQ","0pdYY0CHFRVFLBZEPEKTMZ","D-Sides","https://i.scdn.co/image/60180731540c8b4d44e324eddcbd19feb88c7f53","album",FALSE,"2007-11-19",2007-11-19,56,"Kids With Guns - Jamie T's Turns To Monsters Mix","08GF9fkODWYqmllToQ6qqm",3,2,0.628,0.758,"F#",-7.922,"minor",0.114,0.179,0,0.261,0.766,106.064,262587,4,"F# minor",30,"https://p.scdn.co/mp3-preview/72c4c7879d7c7001fbd83c3c7c1ca7a23d3fa7cb?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/08GF9fkODWYqmllToQ6qqm","Gorillaz"
"Gorillaz","3AA28KZvwAUcZuOKwyblJQ","0696xC5ne3egtnSXp6T4Yg","Humanz","https://i.scdn.co/image/84f8c446ff7ee2189a36fad3b01a129d7b8d0ecb","album",FALSE,"2017-04-28",2017-04-28,36,"Charger (feat. Grace Jones)","0smTRleTwuByEKekBlN0cv",8,1,0.574,0.741,"C",-4.815,"major",0.044,0.112,0.00362,0.347,0.511,138.041,214387,4,"C major",18,"https://p.scdn.co/mp3-preview/d447401cbba80dfd44d597deb1eb43acc062ed49?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/0smTRleTwuByEKekBlN0cv","Gorillaz"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"Nabintou Diakite - Live","0QwWIBRSN1vD5SiIHMVDwB",4,1,0.738,0.278,"C#",-9.745,"major",0.147,0.767,0,0.253,0.754,100.125,106893,4,"C# major",20,"https://p.scdn.co/mp3-preview/e550f63b7a9a93d9b90455f2b5355171ab6a2566?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/0QwWIBRSN1vD5SiIHMVDwB","Damon Albarn"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"Le Relax","1qYHEHNKjhQWn8rYA9M51Z",3,1,0.602,0.569,"F",-13.014,"major",0.0263,0.104,0.818,0.101,0.564,104.356,231907,4,"F major",21,"https://p.scdn.co/mp3-preview/9ad0d59025617d77f0fe6e9c48d19587ca21632d?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/1qYHEHNKjhQWn8rYA9M51Z","Damon Albarn"
"Gorillaz","3AA28KZvwAUcZuOKwyblJQ","0pdYY0CHFRVFLBZEPEKTMZ","D-Sides","https://i.scdn.co/image/60180731540c8b4d44e324eddcbd19feb88c7f53","album",FALSE,"2007-11-19",2007-11-19,56,"DARE - Junior Sanchez Remix","26qM5RQgoLupd3Pg7yC6be",7,2,0.767,0.723,"G",-4.46,"major",0.049,6.48e-05,0.000155,0.0644,0.841,120.025,326373,4,"G major",30,"https://p.scdn.co/mp3-preview/b1980e613734d270574571f4e01fa8cac227f72f?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/26qM5RQgoLupd3Pg7yC6be","Gorillaz"
"Damon Albarn","0O98jlCaPzvsoei6U5jfEL","4RxVunOpdM57AA9qfOBwKP","Journey To The West","https://i.scdn.co/image/3790abdc26788723858b286765852d777b2f8c89","album",FALSE,"2008-08-18",2008-08-18,38,"Disappearing Volcano","4scnJTEoFcdfbA6naAqHD4",22,1,0.119,0.286,"C",-10.183,"major",0.0441,0.932,0.036,0.0836,0.0342,79.562,369427,4,"C major",14,"https://p.scdn.co/mp3-preview/48a2f6ea72d71feaca3e2f4d7b069f2721418b8b?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/4scnJTEoFcdfbA6naAqHD4","Damon Albarn"
"Damon Albarn","0O98jlCaPzvsoei6U5jfEL","4RxVunOpdM57AA9qfOBwKP","Journey To The West","https://i.scdn.co/image/3790abdc26788723858b286765852d777b2f8c89","album",FALSE,"2008-08-18",2008-08-18,38,"Monkey Bee","4hszF784jEq3JTz2ktVpJS",21,1,0.354,0.596,"A",-5.415,"minor",0.0504,0.00893,0.0508,0.0297,0.462,160.332,301747,4,"A minor",25,"https://p.scdn.co/mp3-preview/ddd995bcb153460da34fbba2320a3f1ac6351ca3?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/4hszF784jEq3JTz2ktVpJS","Damon Albarn"
"Damon Albarn","0O98jlCaPzvsoei6U5jfEL","4RxVunOpdM57AA9qfOBwKP","Journey To The West","https://i.scdn.co/image/3790abdc26788723858b286765852d777b2f8c89","album",FALSE,"2008-08-18",2008-08-18,38,"Pigsy In Space","7fkJrGZFZ1kThz2kv4ibh5",20,1,0.262,0.237,"F",-12.199,"major",0.0305,0.906,0.671,0.158,0.0399,69.171,136840,4,"F major",17,"https://p.scdn.co/mp3-preview/378f19b759dd166099626b4f3177997aff40cb4b?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/7fkJrGZFZ1kThz2kv4ibh5","Damon Albarn"
"Damon Albarn","0O98jlCaPzvsoei6U5jfEL","4RxVunOpdM57AA9qfOBwKP","Journey To The West","https://i.scdn.co/image/3790abdc26788723858b286765852d777b2f8c89","album",FALSE,"2008-08-18",2008-08-18,38,"Monk’s Song","1V0XEskoOiJDj4U7JzxtSM",17,1,0.278,0.243,"F#",-7.527,"major",0.0348,0.922,0.64,0.0727,0.211,149.789,106707,3,"F# major",14,"https://p.scdn.co/mp3-preview/d77143c3789966b9a1581d681feefc832e2c9060?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/1V0XEskoOiJDj4U7JzxtSM","Damon Albarn"
"Gorillaz","3AA28KZvwAUcZuOKwyblJQ","4tUxQkrduOE8sfgwJ5BI2F","Gorillaz","https://i.scdn.co/image/6c6086f6922b9a44920310b34ef98161bd7adf78","album",FALSE,"2001-03-26",2001-03-26,73,"19-2000 - Soulchild Remix","1PpfeNl5uYRBhfFcig2Uz6",17,1,0.672,0.896,"C",-3.986,"major",0.0526,0.194,0,0.299,0.895,102.045,209387,4,"C major",55,"https://p.scdn.co/mp3-preview/9ce4843457d4dc0876e1fc8c0c9a4c5926f12a01?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/1PpfeNl5uYRBhfFcig2Uz6","Gorillaz"
"Damon Albarn","0O98jlCaPzvsoei6U5jfEL","4RxVunOpdM57AA9qfOBwKP","Journey To The West","https://i.scdn.co/image/3790abdc26788723858b286765852d777b2f8c89","album",FALSE,"2008-08-18",2008-08-18,38,"The White Skeleton Demon","2mTaIdJsL31nlCpAxOPDj9",16,1,0.183,0.117,"D",-10.168,"minor",0.0351,0.991,0.934,0.0597,0.0512,94.53,94240,4,"D minor",14,"https://p.scdn.co/mp3-preview/6375ffc355be6dabc4a80755e99d8a20d53b57a6?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/2mTaIdJsL31nlCpAxOPDj9","Damon Albarn"
"Damon Albarn","0O98jlCaPzvsoei6U5jfEL","4RxVunOpdM57AA9qfOBwKP","Journey To The West","https://i.scdn.co/image/3790abdc26788723858b286765852d777b2f8c89","album",FALSE,"2008-08-18",2008-08-18,38,"Confessions Of A Pig","37FRV39L8mFihOvDeN4Uik",13,1,0.697,0.819,"G",-5.043,"major",0.0305,0.884,0.967,0.394,0.917,140.3,201520,3,"G major",16,"https://p.scdn.co/mp3-preview/a30ae8aeeaddf833b69d101a9f7173f3714c9fbe?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/37FRV39L8mFihOvDeN4Uik","Damon Albarn"
